pitcher,pitcher_name,pretest_mlb_starts,selection_rank_hash,selected,selection_reason,selection_cutoff,selection_seed,selection_source
434378,Justin Verlander,44,66ed59cb39586b794295d32065b36ad815033345a4d5c8f7e9f854cd8d1c07b3,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
450203,Charlie Morton,60,c9485be01917121863a6789f68823c3259929efbd2a4bde5e831186d740b055f,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
453286,Max Scherzer,36,8e9b68bdc834ebc57006a06a4d38566721f220b5351ff8571376abc6c819e645,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
458681,Lance Lynn,55,c0cb04aa800dd7f112483afa49191d1140e3fec2ecfee2d2b81c31d8a3eeed57,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
471911,Carlos Carrasco,41,5246c5e7b74bda353abbff0b3306eb7185be46b20d59efbaae71d988f44fec7e,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
477132,Clayton Kershaw,31,724fca1e7416cd9b3f6ee422058abb91fe6de8854147e4f59960ffe7e7ff95ae,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
500779,Jose Quintana,44,c3472fc9c290d847d9bc3b2cd31be6acdc7ca5f018bd5bb2c42358a7336e0e0f,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
502043,Kyle Gibson,63,2e75a738653e28ab9717efe920a7886c433e8f582a22ee1656beac8347bf6773,True,SEEDED_PRETEST_SAMPLE,2024-12-31,20250917,MLB Stats API regular-season pitching totals
502171,Alex Cobb,31,da0be3c57789418d0264d3f168e53d3f1d5c75185b2e463e230663f25129db1a,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
506433,Yu Darvish,40,7049bdcaf9c06354f519afe47ed8bfe352a5f81cd554303b139479f376a3efe0,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
518876,Merrill Kelly,43,a882b262da78e3d54862d53b17b1254efc08e7ea0b20043e7347ab0087bb925a,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
519242,Chris Sale,49,57ebd46696faaa55118ccb0cb004e847b289c046626eb24c1b7e9753da67854b,True,RETAINED_ORIGINAL_COHORT,2024-12-31,20250917,MLB Stats API regular-season pitching totals
527048,Martín Pérez,46,2d23c2a855ad810d2f5528407583321d171beaafb25dfe9366613dca3905ffe0,True,SEEDED_PRETEST_SAMPLE,2024-12-31,20250917,MLB Stats API regular-season pitching totals
542881,Tyler Anderson,56,0ecc1064d6fe258c89be82e8598ec77fb5a5f456063e0f1bc6a2d0d3530bd5c9,True,SEEDED_PRETEST_SAMPLE,2024-12-31,20250917,MLB Stats API regular-season pitching totals
543037,Gerrit Cole,50,0a9085042379d64a2d852591adbdbfe2ae213c2f23aa5da7759edb1bab48d86a,True,SEEDED_PRETEST_SAMPLE,2024-12-31,20250917,MLB Stats API regular-season pitching totals
543135,Nathan Eovaldi,54,754bf05f482fa40d9fefb9fb5ae24e24f4405fb3fd6dcc6b0ca6e728f83fbe5d,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
543243,Sonny Gray,60,edcdba25cd495742b9179b5b167f0d9960db795090e556ab81bc232c4dd9d407,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
543294,Kyle Hendricks,48,3a962a0b2006c292ecbedce2e68dc8c6d53b870f3abd64c0217d56b31c0d6df1,True,SEEDED_PRETEST_SAMPLE,2024-12-31,20250917,MLB Stats API regular-season pitching totals
543475,Jordan Lyles,31,4740f0a6f001499537940a678fb67dd561e426379c262b2ae940fcd36d2cabe5,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
547179,Michael Lorenzen,49,8ef2a465ea579ece8b8e34ecc87c61c65a049c0f353fc68aa0ee842c82510eb9,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
554430,Zack Wheeler,64,a3dfeb5adbf366c38095feeda144fd9361b4884fd8cc92f5e78b35d0ea12612c,True,RETAINED_ORIGINAL_COHORT,2024-12-31,20250917,MLB Stats API regular-season pitching totals
571578,Patrick Corbin,64,80a60c3a707765880f4d33c3928664fe967bc66c04eecd200d8d827c1ea7f243,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
571760,Andrew Heaney,59,a967a16ad838075b3c6ba8a34a6650190c6c1caa027ba01847d6eff135fbf95c,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
571945,Miles Mikolas,67,50661e796887e260ca8fab493e08f55c3b43a2f63d369ec46150d7ba2091b6dc,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
572020,James Paxton,40,ad0fd42f0ab6f9861599c285fb87d46bf55b100dac2a6e559196a57b0919624a,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
573186,Marcus Stroman,54,3025512e1f40b184d8e55a4ad4be8e3a70ad68a2063a2790a82f2fead4699a93,True,SEEDED_PRETEST_SAMPLE,2024-12-31,20250917,MLB Stats API regular-season pitching totals
579328,Yusei Kikuchi,64,13c40c3402b414a6c8b3c452df297d61150aa2c6d107844104aa9dd85c450de2,True,SEEDED_PRETEST_SAMPLE,2024-12-31,20250917,MLB Stats API regular-season pitching totals
592332,Kevin Gausman,62,cab02dcd973c7eb0006fd114da7d5eca8a4a45fbeb3ea787bb4b46bb869bcee6,True,RETAINED_ORIGINAL_COHORT,2024-12-31,20250917,MLB Stats API regular-season pitching totals
592351,Jon Gray,48,b377370e37f9bdce630dbcf7d624cb32d1c4c260e202329443f200e645b45558,False,NOT_SAMPLED,2024-12-31,20250917,MLB Stats API regular-season pitching totals
