pitcher,pitcher_name,game_pk,game_date,total_pitches,total_pas,missing_rel_x,missing_spin,actual_data_source,requested_data_mode,dataset_split,outing_qualification_reason,season,run_id,protocol_sha256
502043,Kyle Gibson,718782,2023-03-30,79,21,0.0,0.10126582278481013,mlb_statcast,mlb_statcast,train,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
502043,Kyle Gibson,744832,2024-07-07,96,23,0.0,0.22916666666666666,mlb_statcast,mlb_statcast,validation,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
502043,Kyle Gibson,777890,2025-05-17,47,9,0.0,0.0,mlb_statcast,mlb_statcast,test,RETROSPECTIVE_OUTING_UNDER_MIN_PITCHES,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
527048,Martín Pérez,718264,2023-05-07,71,21,0.0,0.07042253521126761,mlb_statcast,mlb_statcast,train,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
543037,Gerrit Cole,745689,2024-09-14,72,22,0.05555555555555555,0.05555555555555555,mlb_statcast,mlb_statcast,validation,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
543294,Kyle Hendricks,746856,2024-07-06,43,12,0.0,0.0,mlb_statcast,mlb_statcast,validation,RETROSPECTIVE_OUTING_UNDER_MIN_PITCHES,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
543294,Kyle Hendricks,777703,2025-05-31,91,28,0.054945054945054944,0.054945054945054944,mlb_statcast,mlb_statcast,test,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
554430,Zack Wheeler,718525,2023-04-18,94,24,0.0,0.09574468085106383,mlb_statcast,mlb_statcast,train,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
573186,Marcus Stroman,716399,2023-09-28,39,11,0.02564102564102564,0.02564102564102564,mlb_statcast,mlb_statcast,train,RETROSPECTIVE_OUTING_UNDER_MIN_PITCHES,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
573186,Marcus Stroman,717623,2023-06-25,64,20,0.0,1.0,mlb_statcast,mlb_statcast,train,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
573186,Marcus Stroman,717823,2023-06-09,91,28,0.0,0.06593406593406594,mlb_statcast,mlb_statcast,train,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
573186,Marcus Stroman,718451,2023-04-23,95,22,0.0,0.08421052631578947,mlb_statcast,mlb_statcast,train,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
573186,Marcus Stroman,746431,2024-08-18,87,24,0.10344827586206896,0.10344827586206896,mlb_statcast,mlb_statcast,validation,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
573186,Marcus Stroman,778370,2025-04-11,46,9,0.0,0.0,mlb_statcast,mlb_statcast,test,RETROSPECTIVE_OUTING_UNDER_MIN_PITCHES,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
579328,Yusei Kikuchi,718708,2023-04-04,69,18,0.0,0.057971014492753624,mlb_statcast,mlb_statcast,train,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
579328,Yusei Kikuchi,777728,2025-05-28,101,23,0.07920792079207921,0.07920792079207921,mlb_statcast,mlb_statcast,test,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
592332,Kevin Gausman,718686,2023-04-06,86,24,0.0,0.09302325581395349,mlb_statcast,mlb_statcast,train,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
592332,Kevin Gausman,746474,2024-05-23,98,21,0.9183673469387755,0.9285714285714286,mlb_statcast,mlb_statcast,validation,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
593958,Eduardo Rodriguez,717265,2023-07-25,90,24,0.8222222222222222,0.8333333333333334,mlb_statcast,mlb_statcast,train,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
593958,Eduardo Rodriguez,718318,2023-05-04,104,27,0.019230769230769232,0.0673076923076923,mlb_statcast,mlb_statcast,train,EXCESS_MISSING_SPIN_AXIS,,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
