model_key,matching_horizon,qualified_outing_count,score_available_outing_count,score_available_pitch_count,frozen_warning_count,complete_followup_warning_count,censored_warning_count,followup_coverage,episode_count,matched_episode_count,episode_recall_complete_followup,warning_precision_complete_followup,common_followup_warning_count,common_followup_episode_count,common_followup_matched_episode_count,common_followup_episode_recall,actual_data_source
proposed,10,708,708,48754,647,436,211,0.6738794435857806,1581,102,0.06451612903225806,0.23394495412844038,122,1581,28,0.017710309930423784,mlb_statcast
proposed,15,708,708,48754,647,302,345,0.4667697063369397,1581,104,0.06578115117014548,0.3443708609271523,122,1581,42,0.026565464895635674,mlb_statcast
proposed,20,708,708,48754,647,204,443,0.31530139103554866,1581,87,0.05502846299810247,0.4264705882352941,122,1581,49,0.03099304237824162,mlb_statcast
proposed,25,708,708,48754,647,122,525,0.18856259659969088,1581,60,0.03795066413662239,0.4918032786885246,122,1581,60,0.03795066413662239,mlb_statcast
contextual,10,708,708,49714,573,509,64,0.8883071553228621,1581,101,0.06388361796331436,0.19842829076620824,336,1581,67,0.04237824161922834,mlb_statcast
contextual,15,708,708,49714,573,460,113,0.8027923211169284,1581,137,0.0866540164452878,0.29782608695652174,336,1581,100,0.06325110689437065,mlb_statcast
contextual,20,708,708,49714,573,401,172,0.699825479930192,1581,151,0.09550917141049968,0.3765586034912718,336,1581,125,0.07906388361796332,mlb_statcast
contextual,25,708,708,49714,573,336,237,0.5863874345549738,1581,145,0.09171410499683745,0.43154761904761907,336,1581,145,0.09171410499683745,mlb_statcast
velocity,10,708,708,24781,1,0,1,0.0,1581,0,0.0,,0,1581,0,0.0,mlb_statcast
velocity,15,708,708,24781,1,0,1,0.0,1581,0,0.0,,0,1581,0,0.0,mlb_statcast
velocity,20,708,708,24781,1,0,1,0.0,1581,0,0.0,,0,1581,0,0.0,mlb_statcast
velocity,25,708,708,24781,1,0,1,0.0,1581,0,0.0,,0,1581,0,0.0,mlb_statcast
pitch_count,10,708,708,49714,621,477,144,0.7681159420289855,1581,116,0.07337128399746995,0.2431865828092243,79,1581,14,0.008855154965211892,mlb_statcast
pitch_count,15,708,708,49714,621,344,277,0.5539452495974235,1581,113,0.07147375079063883,0.32848837209302323,79,1581,21,0.013282732447817837,mlb_statcast
pitch_count,20,708,708,49714,621,174,447,0.28019323671497587,1581,70,0.044275774826059454,0.40229885057471265,79,1581,28,0.017710309930423784,mlb_statcast
pitch_count,25,708,708,49714,621,79,542,0.12721417069243157,1581,38,0.02403542061986085,0.4810126582278481,79,1581,38,0.02403542061986085,mlb_statcast
