game_pk,pitcher,warning_pitch,warning_pa,game_date,dataset_split,actual_data_source,available_followup_pitches,episode_id,onset_pitch,onset_pa,lead_time_pitches,matching_horizon,model_key,analysis_population,run_id,protocol_sha256
776147,671106,77,21,2025-09-28,test,mlb_statcast,11,3,82,22,5,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776202,668881,79,20,2025-09-24,test,mlb_statcast,17,2,83,22,4,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776217,592332,79,23,2025-09-23,test,mlb_statcast,13,3,82,25,3,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776274,579328,72,20,2025-09-18,test,mlb_statcast,20,2,80,23,8,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776341,656302,73,18,2025-09-13,test,mlb_statcast,36,3,78,19,5,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776399,657277,75,19,2025-09-08,test,mlb_statcast,35,2,84,22,9,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776456,650911,72,23,2025-09-05,test,mlb_statcast,10,1,73,24,1,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776518,663903,79,19,2025-08-31,test,mlb_statcast,23,3,82,20,3,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776535,665795,65,18,2025-08-30,test,mlb_statcast,14,3,74,22,9,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776572,669194,78,18,2025-08-27,test,mlb_statcast,20,3,81,20,3,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776598,650911,45,12,2025-08-25,test,mlb_statcast,49,2,52,15,7,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776621,657277,69,19,2025-08-23,test,mlb_statcast,25,3,79,23,10,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776623,671106,83,23,2025-08-23,test,mlb_statcast,13,5,88,24,5,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776624,656849,82,22,2025-08-24,test,mlb_statcast,16,1,85,24,3,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776632,607536,75,19,2025-08-23,test,mlb_statcast,23,4,82,21,7,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776639,650644,68,16,2025-08-22,test,mlb_statcast,23,2,70,17,2,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
776642,656302,81,20,2025-08-21,test,mlb_statcast,14,2,84,21,3,10,proposed,complete_followup,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
